,Date,IUCR,Location Description,Arrest,District,Ward,Community Area,Location,VIN,ATTEMPT,RECOVERY
280847,03/25/2010 05:00:00 AM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,22.0,34.0,73.0,"(41.709562773, -87.642900256)",1,0,0
355820,01/11/2015 09:45:00 PM,AUTOMOBILE,STREET,False,20.0,48.0,3.0,"(41.973612537, -87.651099188)",1,0,0
316963,03/08/2012 07:00:00 AM,AUTOMOBILE,STREET,False,14.0,35.0,22.0,"(41.928763353, -87.705855277)",1,0,0
290535,12/12/2010 08:00:00 AM,AUTOMOBILE,STREET,False,5.0,34.0,53.0,"(41.682574608, -87.632404024)",1,0,0
310743,06/23/2011 10:30:00 PM,AUTOMOBILE,STREET,False,17.0,35.0,21.0,"(41.941486998, -87.716246477)",1,0,0
305105,06/30/2011 10:00:00 AM,AUTOMOBILE,HOUSE,False,11.0,28.0,26.0,"(41.876985721, -87.733710465)",1,0,0
378955,03/11/2017 09:30:00 PM,AUTOMOBILE,CAR,False,14.0,1.0,22.0,"(41.917841783, -87.694491251)",1,0,0
42860,01/08/2022 07:00:00 AM,AUTOMOBILE,STREET,False,11.0,28.0,26.0,"(41.879782639, -87.723905577)",1,0,0
353758,06/30/2015 07:00:00 AM,AUTOMOBILE,PARKINGZONE,False,8.0,23.0,62.0,"(41.798009217, -87.714716614)",1,0,0
235784,07/29/2004 12:30:00 AM,AUTOMOBILE,STREET,False,25.0,36.0,25.0,"(41.921100206, -87.803038651)",1,0,0
336056,03/15/2013 06:00:00 PM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.771664232, -87.703645838)",1,0,0
244307,01/02/2005 11:51:00 AM,AUTOMOBILE,STREET,False,2.0,20.0,40.0,"(41.791060969, -87.623185337)",1,0,0
344646,04/14/2014 03:10:00 AM,AUTOMOBILE,STREET,False,3.0,20.0,42.0,"(41.776933681, -87.590257484)",1,0,0
80002,03/07/2006 10:40:00 PM,AUTOMOBILE,STREET,False,6.0,21.0,71.0,"(41.750405784, -87.659903013)",1,0,0
301414,04/19/2011 08:00:00 AM,AUTOMOBILE,STREET,False,18.0,27.0,8.0,"(41.898961357, -87.635985871)",1,0,0
208754,06/17/2003 12:00:00 AM,AUTOMOBILE,Alcohol,False,8.0,14.0,58.0,"(41.810770179, -87.709649208)",1,0,0
316384,01/04/2012 08:00:00 AM,AUTOMOBILE,STREET,False,2.0,3.0,35.0,"(41.829596056, -87.624513461)",1,0,0
263610,01/30/2009 10:25:00 PM,AUTOMOBILE,STREET,False,22.0,21.0,73.0,"(41.722784297, -87.639608453)",1,0,0
252926,09/06/2005 06:00:00 PM,AUTOMOBILE,STREET,False,1.0,2.0,28.0,"(41.871534735, -87.640862546)",1,0,0
362862,10/30/2015 12:00:00 PM,AUTOMOBILE,STREET,False,25.0,37.0,19.0,"(41.921145069, -87.773187031)",1,0,0
332302,12/07/2012 07:56:00 AM,AUTOMOBILE,STREET,False,5.0,9.0,49.0,"(41.686280755, -87.61439906)",1,0,0
115335,03/02/2008 11:00:00 AM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.8577995, -87.710297377)",1,0,0
181275,05/27/2002 04:00:00 PM,AUTOMOBILE,PARKINGZONE,False,4.0,7.0,43.0,"(41.755781299, -87.554309795)",1,0,0
314011,02/17/2012 12:00:00 PM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,6.0,21.0,44.0,"(41.732214483, -87.625328663)",1,0,0
122126,04/18/2008 06:30:00 PM,AUTOMOBILE,STREET,False,2.0,4.0,39.0,"(41.810888736, -87.60440197)",1,0,0
12638,12/11/2023 11:30:00 AM,AUTOMOBILE,STREET,False,9.0,12.0,59.0,"(41.831472098, -87.683741087)",1,0,0
110308,09/11/2007 09:30:00 PM,AUTOMOBILE,STREET,False,19.0,44.0,6.0,"(41.94431908, -87.647574073)",1,0,0
204003,07/10/2003 02:00:00 AM,AUTOMOBILE,STREET,False,4.0,7.0,51.0,"(41.719758242, -87.57337473)",1,0,1
5540,11/05/2020 01:00:00 PM,AUTOMOBILE,STREET,False,15.0,37.0,25.0,"(41.892956463, -87.760986157)",1,0,0
335361,03/15/2013 08:05:00 AM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.772859561, -87.68468842)",1,0,0
1680,07/15/2020 09:30:00 PM,AUTOMOBILE,STREET,False,6.0,21.0,71.0,"(41.747976415, -87.650030455)",1,0,0
351645,08/15/2014 09:00:00 PM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.821536978, -87.621542622)",1,0,0
268933,08/20/2009 11:59:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,17.0,30.0,21.0,"(41.940928208, -87.726220046)",1,0,0
177064,04/05/2002 04:30:00 PM,AUTOMOBILE,STREET,False,16.0,38.0,15.0,"(41.945196176, -87.752888133)",1,0,0
235786,10/10/2004 11:00:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,20.0,"(41.924373405, -87.735846549)",1,0,0
392100,09/30/2018 04:00:00 PM,AUTOMOBILE,HOUSE,False,19.0,47.0,6.0,"(41.953426286, -87.667479183)",1,1,0
313815,04/01/2012 03:00:00 PM,AUTOMOBILE,STREET,False,10.0,24.0,30.0,"(41.850992607, -87.701550738)",1,0,0
409691,06/23/2020 11:50:00 PM,AUTOMOBILE,STREET,False,11.0,28.0,27.0,"(41.874505585, -87.713674743)",1,0,0
365364,06/07/2016 01:00:00 AM,AUTOMOBILE,STREET,False,25.0,30.0,23.0,"(41.910307949, -87.728788057)",1,0,0
16661,11/12/2023 08:00:00 PM,AUTOMOBILE,PARKINGZONE,False,12.0,34.0,28.0,"(41.879225851, -87.646636417)",1,0,0
238447,10/26/2004 09:00:00 PM,AUTOMOBILE,STREET,False,25.0,30.0,20.0,"(41.919809702, -87.734783138)",1,0,0
83322,08/15/2006 12:00:00 AM,AUTOMOBILE,STREET,False,19.0,47.0,3.0,"(41.963859213, -87.674040454)",1,0,0
385915,08/06/2017 10:00:00 AM,AUTOMOBILE,STREET,False,7.0,15.0,67.0,"(41.771736514, -87.66400571)",1,0,0
348890,11/20/2014 09:00:00 PM,AUTOMOBILE,STREET,False,6.0,8.0,44.0,"(41.74689218, -87.601421562)",1,0,0
101587,06/01/2007 08:27:42 AM,"TRUCK, BUS, MOTOR HOME",Alcohol,False,4.0,10.0,55.0,"(41.678538262, -87.540039625)",1,0,0
79135,01/15/2006 04:25:00 PM,AUTOMOBILE,STREET,False,5.0,34.0,53.0,"(41.680778424, -87.657836326)",1,0,0
121959,04/12/2008 11:00:00 AM,AUTOMOBILE,STREET,False,9.0,11.0,60.0,"(41.825335549, -87.641841241)",1,0,0
214155,08/29/2003 12:00:00 AM,AUTOMOBILE,STREET,False,22.0,34.0,75.0,"(41.685576385, -87.64824556)",1,0,0
60176,02/25/2023 02:00:00 PM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.821182269, -87.628550134)",1,0,0
77995,04/13/2006 11:00:00 PM,AUTOMOBILE,STREET,False,8.0,13.0,62.0,"(41.792661286, -87.732949519)",1,0,1
287787,12/06/2010 01:00:00 PM,AUTOMOBILE,STREET,False,25.0,26.0,23.0,"(41.903052966, -87.718596666)",1,0,0
5327,11/28/2005 03:00:00 AM,AUTOMOBILE,STREET,False,18.0,32.0,7.0,"(41.915382243, -87.65327386)",1,0,1
351530,12/01/2014 08:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,8.0,16.0,63.0,"(41.787811339, -87.691193)",1,0,0
393186,12/04/2018 11:40:00 PM,AUTOMOBILE,STREET,False,12.0,27.0,24.0,"(41.902926302, -87.662626283)",1,0,0
17070,02/18/2024 08:00:00 PM,AUTOMOBILE,STREET,False,9.0,20.0,61.0,"(41.798854681, -87.645272669)",1,0,0
86558,07/05/2006 11:45:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,14.0,32.0,22.0,"(41.916365379, -87.670285845)",1,0,0
319306,04/21/2012 08:00:00 AM,AUTOMOBILE,STREET,False,12.0,27.0,24.0,"(41.903216424, -87.6662636)",1,0,0
24469,06/17/2024 06:00:00 AM,AUTOMOBILE,HOUSE,False,19.0,32.0,7.0,"(41.925534674, -87.660522789)",1,0,0
92478,09/01/2006 06:45:00 PM,AUTOMOBILE,STREET,False,24.0,49.0,1.0,"(42.013898841, -87.66678255)",1,0,0
402519,12/06/2019 01:45:00 AM,AUTOMOBILE,PARKINGZONE,False,4.0,10.0,55.0,"(41.654870689, -87.559299704)",1,0,0
114341,02/26/2008 08:40:00 AM,AUTOMOBILE,Alcohol,False,11.0,28.0,26.0,"(41.881974589, -87.731578013)",1,0,0
318601,06/12/2012 06:00:00 AM,AUTOMOBILE,STREET,False,17.0,38.0,15.0,"(41.946169568, -87.743575636)",1,0,0
26793,07/24/2024 04:00:00 AM,AUTOMOBILE,AIRPORT,False,16.0,41.0,76.0,"(41.992663658, -87.887544993)",1,0,0
250681,05/05/2005 08:00:00 AM,AUTOMOBILE,STREET,False,2.0,5.0,41.0,"(41.790894592, -87.604940233)",1,0,0
41912,01/26/2022 08:00:00 AM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.873107916, -87.745889009)",1,0,0
393001,11/07/2018 03:00:00 PM,AUTOMOBILE,STREET,False,17.0,39.0,12.0,"(41.984393988, -87.742571976)",1,0,0
255504,08/26/2005 12:30:00 AM,AUTOMOBILE,STREET,False,20.0,48.0,77.0,"(41.989044685, -87.662065101)",1,0,0
271349,11/25/2009 10:00:00 PM,AUTOMOBILE,STREET,False,11.0,28.0,26.0,"(41.883224831, -87.737148139)",1,0,0
264184,07/03/2009 03:30:00 PM,AUTOMOBILE,STREET,False,17.0,33.0,16.0,"(41.9564315, -87.716664827)",1,0,0
74993,03/16/2006 02:00:00 AM,AUTOMOBILE,STREET,False,7.0,15.0,67.0,"(41.776703882, -87.667818222)",1,0,0
296161,10/16/2010 10:00:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,25.0,30.0,23.0,"(41.911758366, -87.721808638)",1,0,0
402478,10/13/2019 05:39:00 PM,AUTOMOBILE,STREET,False,4.0,8.0,43.0,"(41.75873008, -87.590148656)",1,0,1
127257,09/13/2008 12:00:00 AM,AUTOMOBILE,STREET,False,24.0,40.0,2.0,"(41.992515353, -87.677125387)",1,0,0
7887,10/12/2023 06:00:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.922376029, -87.750342791)",1,0,0
237976,01/10/2005 07:00:00 AM,AUTOMOBILE,STREET,False,1.0,2.0,28.0,"(41.869463023, -87.64226171)",1,0,0
332425,10/24/2012 08:00:00 AM,AUTOMOBILE,STREET,False,6.0,6.0,69.0,"(41.754202799, -87.611365676)",1,0,0
80839,02/17/2006 11:00:00 PM,AUTOMOBILE,STREET,False,3.0,5.0,43.0,"(41.76906896, -87.572708698)",1,0,0
188513,07/08/2002 10:00:00 AM,AUTOMOBILE,STREET,False,12.0,42.0,24.0,"(41.890151078, -87.643041403)",1,0,0
179165,05/31/2002 09:00:00 PM,AUTOMOBILE,STREET,False,16.0,45.0,11.0,"(41.97136667, -87.771427067)",1,0,0
1804,09/23/2020 10:00:00 PM,AUTOMOBILE,STREET,False,12.0,27.0,28.0,"(41.886968562, -87.6486762)",1,0,0
201875,04/18/2003 08:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,25.0,31.0,21.0,"(41.936040337, -87.725623229)",1,0,0
79040,04/21/2006 07:00:00 AM,AUTOMOBILE,HOUSE,False,6.0,17.0,71.0,"(41.757105682, -87.646635062)",1,0,0
137642,08/11/2023 11:00:00 PM,AUTOMOBILE,STREET,False,11.0,37.0,23.0,"(41.899809702, -87.733728399)",1,0,0
353493,04/26/2015 10:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,8.0,18.0,70.0,"(41.750690295, -87.7189971)",1,0,0
218800,01/12/2004 10:45:00 PM,"TRUCK, BUS, MOBILE HOME",STREET,False,25.0,31.0,20.0,"(41.92803251, -87.733416408)",1,0,1
41098,09/24/2021 06:00:00 PM,AUTOMOBILE,PARK,False,17.0,39.0,14.0,"(41.973814751, -87.722064863)",1,0,0
14936,01/13/2024 09:30:00 AM,AUTOMOBILE,STREET,False,17.0,30.0,16.0,"(41.943162315, -87.727838219)",1,0,1
252815,08/29/2005 01:00:00 PM,AUTOMOBILE,STREET,False,14.0,32.0,22.0,"(41.918359799, -87.686046251)",1,0,0
303915,05/20/2011 08:30:00 PM,AUTOMOBILE,STREET,False,11.0,24.0,26.0,"(41.876047775, -87.735929695)",1,0,1
211201,10/26/2003 06:00:00 PM,AUTOMOBILE,PARKINGZONE,False,12.0,2.0,28.0,"(41.863320816, -87.664883273)",1,0,0
321349,08/07/2012 12:00:00 AM,AUTOMOBILE,STREET,False,15.0,28.0,25.0,"(41.882964879, -87.758831584)",1,0,0
205194,07/11/2003 04:00:00 PM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.860045503, -87.734775477)",1,0,0
189736,10/26/2002 08:30:00 PM,AUTOMOBILE,STREET,False,19.0,32.0,7.0,"(41.930712315, -87.660402231)",1,0,0
213947,11/15/2003 01:30:00 AM,AUTOMOBILE,STREET,False,22.0,21.0,73.0,"(41.720382956, -87.658960167)",1,0,0
112920,03/06/2008 12:00:00 AM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.834724384, -87.718194144)",1,0,0
107388,08/17/2007 11:00:00 PM,AUTOMOBILE,STREET,False,16.0,45.0,15.0,"(41.960623307, -87.755439501)",1,0,0
189,09/07/2023 03:15:00 AM,AUTOMOBILE,STREET,False,16.0,45.0,15.0,"(41.960615918, -87.756152851)",1,0,0
89304,10/20/2006 06:00:00 PM,AUTOMOBILE,STREET,False,12.0,2.0,28.0,"(41.884538134, -87.679931766)",1,0,0
117501,03/14/2008 10:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,6.0,6.0,44.0,"(41.7467282, -87.612380203)",1,0,0
42015,01/05/2022 07:00:00 PM,AUTOMOBILE,STREET,False,1.0,3.0,33.0,"(41.862859101, -87.624050746)",1,0,0
386121,09/25/2017 11:40:00 AM,AUTOMOBILE,PARKINGZONE,False,14.0,1.0,24.0,"(41.906276004, -87.670011875)",1,0,0
182358,04/28/2002 08:00:00 PM,AUTOMOBILE,STREET,False,17.0,31.0,16.0,"(41.940952796, -87.72723795)",1,0,0
340813,08/31/2013 07:00:00 AM,AUTOMOBILE,STREET,False,8.0,16.0,66.0,"(41.786358854, -87.696480263)",1,0,0
410058,06/29/2020 11:50:00 PM,AUTOMOBILE,STREET,False,11.0,28.0,27.0,"(41.886374398, -87.709608503)",1,0,0
243204,11/06/2004 11:00:00 PM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.780536308, -87.705608569)",1,0,0
127835,09/23/2008 10:00:00 PM,AUTOMOBILE,STREET,False,8.0,13.0,62.0,"(41.789537981, -87.726623887)",1,0,0
349585,11/04/2014 09:00:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,24.0,40.0,2.0,"(41.994211272, -87.682912867)",1,0,0
9485,10/31/2023 08:30:00 PM,AUTOMOBILE,STORE,False,6.0,8.0,44.0,"(41.73609565, -87.604808666)",1,0,0
318520,02/28/2012 04:30:00 AM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.858738292, -87.734068176)",1,0,0
119458,05/04/2008 12:01:00 AM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.83996062, -87.708565824)",1,0,0
310681,07/01/2011 10:00:00 PM,AUTOMOBILE,STREET,False,9.0,16.0,61.0,"(41.802604981, -87.676968822)",1,0,0
51330,08/26/2022 12:15:00 PM,AUTOMOBILE,STREET,False,22.0,21.0,73.0,"(41.716587226, -87.652388557)",1,0,0
288993,10/25/2010 11:00:00 PM,AUTOMOBILE,STREET,False,4.0,8.0,45.0,"(41.738710871, -87.587257778)",1,0,0
103523,06/30/2007 03:00:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,19.0,44.0,6.0,"(41.951590995, -87.654458835)",1,0,0
389136,05/05/2018 09:00:00 PM,AUTOMOBILE,STREET,False,8.0,14.0,57.0,"(41.803657063, -87.723461164)",1,0,0
226519,06/17/2004 09:00:00 PM,AUTOMOBILE,STREET,False,8.0,18.0,66.0,"(41.763504118, -87.695449074)",1,0,0
295677,11/11/2010 06:00:00 PM,AUTOMOBILE,STREET,False,7.0,17.0,67.0,"(41.766849623, -87.655698886)",1,0,0
291496,11/07/2010 08:00:00 PM,AUTOMOBILE,STREET,False,17.0,38.0,16.0,"(41.949098784, -87.735306924)",1,0,0
333565,04/25/2013 05:00:00 PM,AUTOMOBILE,HOUSE,False,5.0,9.0,53.0,"(41.675233822, -87.626184099)",1,0,0
47794,03/17/2022 06:00:00 AM,AUTOMOBILE,STREET,False,9.0,20.0,61.0,"(41.80649475, -87.650329629)",1,0,0
270208,08/05/2009 08:21:00 PM,AUTOMOBILE,STORE,False,4.0,5.0,43.0,"(41.757614433, -87.586115266)",1,0,0
20383,04/11/2024 04:45:00 PM,AUTOMOBILE,STREET,False,3.0,20.0,40.0,"(41.785642234, -87.61939878)",1,0,0
305484,09/02/2011 05:00:00 PM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.782088637, -87.683719122)",1,0,0
218682,02/01/2004 01:30:00 AM,AUTOMOBILE,STREET,False,7.0,6.0,69.0,"(41.771746614, -87.626738051)",1,0,0
241202,10/28/2004 06:00:00 PM,AUTOMOBILE,STREET,False,8.0,14.0,57.0,"(41.801262135, -87.726208894)",1,0,0
75329,01/09/2006 05:00:00 PM,AUTOMOBILE,STREET,False,7.0,16.0,67.0,"(41.782353735, -87.660639445)",1,0,0
128123,10/07/2008 12:01:00 AM,AUTOMOBILE,STREET,False,7.0,15.0,67.0,"(41.78418997, -87.66918179)",1,0,0
328826,12/09/2012 10:00:00 PM,AUTOMOBILE,STREET,False,22.0,19.0,75.0,"(41.695352558, -87.690183874)",1,0,0
320492,05/03/2012 08:30:00 AM,AUTOMOBILE,STREET,False,11.0,28.0,26.0,"(41.883616381, -87.734342536)",1,0,0
301265,02/25/2011 07:00:00 AM,AUTOMOBILE,STREET,False,8.0,14.0,57.0,"(41.812763454, -87.72621401)",1,0,0
15084,01/17/2024 07:00:00 PM,AUTOMOBILE,PARKINGZONE,False,2.0,3.0,40.0,"(41.801538809, -87.616145232)",1,0,1
36642,01/25/2021 12:00:00 AM,AUTOMOBILE,STREET,False,7.0,3.0,68.0,"(41.792064843, -87.632932296)",1,0,0
97890,04/14/2007 07:00:00 PM,AUTOMOBILE,STREET,False,11.0,27.0,23.0,"(41.899067847, -87.720559635)",1,0,0
117053,12/11/2007 02:00:00 PM,AUTOMOBILE,STREET,False,5.0,34.0,49.0,"(41.692546131, -87.626353328)",1,0,0
237855,12/16/2004 05:00:00 PM,AUTOMOBILE,PARKINGZONE,False,9.0,11.0,61.0,"(41.809619473, -87.645560971)",1,0,0
313756,12/10/2011 05:50:00 AM,AUTOMOBILE,STREET,False,22.0,34.0,75.0,"(41.690384642, -87.655216877)",1,0,0
330110,12/19/2012 07:00:00 PM,AUTOMOBILE,STREET,False,8.0,14.0,63.0,"(41.787630652, -87.702165901)",1,0,1
333116,03/14/2013 06:55:00 AM,AUTOMOBILE,CAR,False,20.0,40.0,4.0,"(41.969645017, -87.696584734)",1,0,0
282787,05/14/2010 07:00:00 PM,AUTOMOBILE,STREET,False,5.0,9.0,53.0,"(41.670088253, -87.628429171)",1,0,0
11004,11/18/2023 04:00:00 PM,AUTOMOBILE,STREET,False,12.0,27.0,27.0,"(41.887534905, -87.705021255)",1,0,0
201264,02/21/2003 09:00:00 PM,AUTOMOBILE,STREET,False,11.0,37.0,23.0,"(41.900667699, -87.737235695)",1,0,0
247550,05/23/2005 01:00:00 AM,AUTOMOBILE,STREET,False,3.0,20.0,69.0,"(41.772081559, -87.621869701)",1,0,0
409482,06/28/2020 08:15:00 PM,AUTOMOBILE,STREET,False,1.0,3.0,33.0,"(41.853953807, -87.622244109)",1,0,0
316191,07/19/2011 07:00:00 AM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.836491258, -87.720679892)",1,0,0
185987,08/30/2002 09:00:00 PM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.878430815, -87.758170843)",1,0,0
92050,12/07/2006 07:40:00 PM,AUTOMOBILE,STREET,False,16.0,36.0,17.0,"(41.947287951, -87.810728653)",1,0,0
217723,12/27/2003 10:30:00 PM,AUTOMOBILE,STREET,False,2.0,4.0,41.0,"(41.801958063, -87.591842578)",1,0,0
193432,11/16/2002 10:30:00 PM,AUTOMOBILE,STREET,False,10.0,25.0,31.0,"(41.850060897, -87.68068649)",1,0,1
202315,01/23/2003 10:00:00 PM,AUTOMOBILE,STREET,False,6.0,8.0,69.0,"(41.757954053, -87.600496889)",1,0,0
129289,10/10/2008 04:00:00 PM,AUTOMOBILE,STREET,False,12.0,25.0,28.0,"(41.870846118, -87.66168772)",1,0,0
219457,12/01/2003 09:00:00 AM,AUTOMOBILE,STREET,False,3.0,20.0,42.0,"(41.778871742, -87.59631384)",1,0,0
66278,02/14/2023 01:00:00 AM,AUTOMOBILE,CAR,False,10.0,12.0,30.0,"(41.844508425, -87.705647926)",1,0,0
80586,04/01/2006 01:30:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,6.0,6.0,44.0,"(41.748695765, -87.622937851)",1,0,0
236423,09/07/2004 03:45:00 AM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,24.0,40.0,2.0,"(41.990736648, -87.676084265)",1,0,0
25127,06/29/2024 12:00:00 AM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.843618446, -87.734268005)",1,1,0
77106,02/19/2006 08:30:00 PM,AUTOMOBILE,STREET,False,15.0,37.0,25.0,"(41.897172335, -87.750759404)",1,0,0
86329,08/02/2006 12:30:00 AM,AUTOMOBILE,STREET,False,25.0,29.0,25.0,"(41.902967566, -87.76932723)",1,0,0
129699,12/07/2022 02:40:00 PM,AUTOMOBILE,STREET,False,7.0,16.0,67.0,"(41.771254597, -87.662778986)",1,0,0
178602,03/05/2002 09:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,10.0,24.0,29.0,"(41.863404887, -87.727526684)",1,0,0
379928,07/17/2017 09:30:00 PM,AUTOMOBILE,STREET,False,5.0,9.0,54.0,"(41.658611959, -87.615219208)",1,0,0
400057,07/12/2019 08:00:00 AM,AUTOMOBILE,STREET,False,3.0,6.0,69.0,"(41.770065864, -87.623420615)",1,0,0
387945,04/13/2018 10:30:00 PM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.858911907, -87.720682517)",1,0,0
180679,04/03/2002 10:00:00 PM,AUTOMOBILE,Alcohol,False,8.0,14.0,58.0,"(41.80805312, -87.709103358)",1,0,0
369000,07/14/2016 11:30:00 PM,AUTOMOBILE,STREET,False,12.0,2.0,27.0,"(41.885474288, -87.699584257)",1,0,0
339519,08/26/2013 08:30:00 AM,AUTOMOBILE,STREET,False,11.0,24.0,26.0,"(41.874219587, -87.736357957)",1,0,0
233138,09/08/2004 08:29:22 AM,AUTOMOBILE,STREET,False,6.0,17.0,71.0,"(41.752365503, -87.6506509)",1,0,1
220164,11/29/2003 04:00:00 AM,AUTOMOBILE,STREET,False,7.0,17.0,69.0,"(41.763045556, -87.630946108)",1,0,0
261525,11/19/2008 09:00:00 PM,AUTOMOBILE,STREET,False,9.0,16.0,61.0,"(41.799862583, -87.675379438)",1,0,0
1433,10/17/2005 11:50:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,17.0,39.0,13.0,"(41.984198867, -87.711346953)",1,0,0
114566,12/10/2007 11:00:00 AM,AUTOMOBILE,STREET,False,1.0,3.0,33.0,"(41.850330711, -87.627026373)",1,0,0
97596,03/25/2007 01:00:00 AM,AUTOMOBILE,STREET,False,17.0,39.0,14.0,"(41.965689254, -87.73300442)",1,0,0
399038,03/21/2019 08:00:00 PM,AUTOMOBILE,STREET,False,3.0,6.0,69.0,"(41.772903992, -87.619078145)",1,0,0
192096,10/13/2002 10:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,11.0,28.0,27.0,"(41.881647626, -87.716503095)",1,0,0
311343,12/31/2011 04:42:47 PM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,4.0,7.0,46.0,"(41.745706705, -87.551441439)",1,0,0
104767,06/23/2007 08:00:00 PM,AUTOMOBILE,STREET,False,18.0,42.0,8.0,"(41.894802128, -87.633449049)",1,0,0
207106,04/14/2003 01:30:00 AM,AUTOMOBILE,STREET,False,7.0,20.0,68.0,"(41.782595714, -87.639041114)",1,0,0
311746,11/08/2011 08:10:00 PM,AUTOMOBILE,STREET,False,25.0,37.0,25.0,"(41.906773608, -87.757123007)",1,0,0
199857,02/12/2003 09:30:00 AM,AUTOMOBILE,STREET,False,12.0,27.0,24.0,"(41.894389546, -87.653852879)",1,0,0
332619,06/06/2013 07:00:00 PM,AUTOMOBILE,STREET,False,4.0,8.0,43.0,"(41.756190752, -87.584522841)",1,0,1
255338,06/17/2005 05:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,12.0,27.0,28.0,"(41.886758946, -87.677650566)",1,0,0
143765,05/08/2023 07:00:00 AM,AUTOMOBILE,PARKINGZONE,False,19.0,44.0,6.0,"(41.938964299, -87.652971899)",1,1,0
391683,03/28/2018 03:00:00 PM,AUTOMOBILE,STREET,False,16.0,38.0,15.0,"(41.943221407, -87.760202344)",1,0,0
316573,04/08/2012 12:00:00 PM,AUTOMOBILE,STREET,False,16.0,41.0,10.0,"(41.998173078, -87.800420007)",1,0,0
237787,11/06/2004 12:05:00 AM,AUTOMOBILE,STREET,False,15.0,37.0,25.0,"(41.895441878, -87.758065988)",1,0,0
380016,05/22/2017 10:00:00 PM,AUTOMOBILE,STREET,False,11.0,24.0,26.0,"(41.876926142, -87.738613028)",1,0,0
60077,10/22/2022 10:00:00 PM,AUTOMOBILE,STREET,False,7.0,17.0,67.0,"(41.762101347, -87.664959881)",1,1,0
364363,06/26/2016 10:00:00 AM,AUTOMOBILE,STREET,False,19.0,44.0,6.0,"(41.946257368, -87.651868788)",1,0,0
72662,11/27/2005 10:30:00 AM,AUTOMOBILE,STREET,False,4.0,7.0,43.0,"(41.757246381, -87.560757256)",1,0,0
122962,07/15/2008 05:35:00 PM,AUTOMOBILE,STREET,False,4.0,7.0,46.0,"(41.736486974, -87.55971642)",1,0,0
192,03/21/2020 11:30:00 PM,AUTOMOBILE,STREET,False,1.0,11.0,28.0,"(41.862218265, -87.639087164)",1,0,0
76442,04/10/2006 10:00:00 PM,"TRUCK, BUS, MOBILE HOME",PARKINGZONE,False,12.0,2.0,27.0,"(41.88108348, -87.695121919)",1,0,1
182827,08/08/2002 12:01:00 AM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.929546679, -87.759600807)",1,0,0
251766,08/27/2005 12:00:00 PM,AUTOMOBILE,STREET,False,7.0,17.0,67.0,"(41.777043857, -87.659290782)",1,0,0
399195,08/08/2019 03:00:00 PM,AUTOMOBILE,STREET,False,24.0,49.0,1.0,"(42.016906591, -87.675365909)",1,0,0
403097,02/10/2020 08:15:00 AM,AUTOMOBILE,STREET,False,11.0,28.0,26.0,"(41.876141039, -87.728581417)",1,0,0
78619,01/25/2006 05:00:00 PM,AUTOMOBILE,STREET,False,14.0,1.0,21.0,"(41.937014979, -87.694858584)",1,0,0
1557,09/15/2023 10:00:00 PM,AUTOMOBILE,STREET,False,22.0,21.0,75.0,"(41.690100049, -87.660492085)",1,0,0
